Order ID,Date,Sales Person,Country,Region,Product,Sales Channel,Boxes Shipped,Unit Price ($),Amount ($)
ORD-10317,2022-04-17,  Liam Patel  ,  Canada  ,  North America  ,Salicylic Acid Cleanser,distributor,321,38.01,12202.64
ORD-10274,2022-06-24,Sophia Nair,usa,North America,hair repair oil,Wholesale,296,45.64,13509.42
ORD-10033,03/08/2022,  Liam Patel  ,Canada,North America,Lip Balm Pack,Retail,362,44.82,16223.13
ORD-10441,2022-05-10,Ethan Reddy,uk,europe,FACE SHEET MASKS,Retail,99999,43.94,10720.46
ORD-10180,2022-04-27,Liam Patel,australia,OCEANIA,  Aloe Vera Gel  ,RETAIL,296,21.37,6324.87
ORD-10413,2022-04-10,olivia d'souza,INDIA,  Asia  ,VITAMIN C CREAM,Wholesale,396,,16265.32
ORD-10360,2022-06-19,Isabella Roy,Australia,OCEANIA,rose water toner,distributor,152,35.73,5431.35
ORD-10155,2022-05-09,Ananya Gupta,australia,Oceania,Tea Tree Moisturizer,Online,167,49.86,8326.18
ORD-10295,2022-02-18,Lucas Verma,New Zealand,Oceania,body butter cream,Online,286,33.73,9645.48
ORD-10290,2022-04-08,,Australia,Oceania,Charcoal Face Wash,,332,14.52,4819.15
ORD-10212,2022-07-31,Noah Mehta,Canada ,North America,  Rose Water Toner  ,Retail,,23.5,4111.71
ORD-10329,2022-04-15,Lucas Verma,Australia,oceania,HAIR REPAIR OIL,  Online  ,20,29.28,585.65
ORD-10217,2022-01-12,Ava Sharma,,Oceania,Niacinamide Toner,Distributor,38,15.63,593.94
ORD-10400,2022-02-10,  Liam Patel  ,UK,Europe,Lip Balm Pack,WHOLESALE,61,26.22,1599.61
ORD-10045,2022-05-29,Ethan Reddy,USA,north america,Hydrating Face Serum,Online,298,29.0,8642.86
ORD-10101,2022-04-09,liam patel,  India  ,Asia,Niacinamide Toner,Retail,204,14.18,2893.74
ORD-10049,07-13-2022,Mason Kapoor,NEW ZEALAND,oceania,Lip Balm Pack,Retail,312,30.72,9583.51
ORD-10399,2022-02-13,Noah Mehta,,Oceania,hair repair oil,distributor,96,26.9,2582.07
ORD-10372,2022-06-21,Ananya Gupta,USA,  North America  ,Lip Balm Pack,Retail,143,34.85,4983.24
ORD-10473,2022-03-05,Olivia D'Souza,New Zealand,Oceania,Face Sheet Masks,Retail,337,15.7,5290.73
ORD-10421,2022-02-12,Mason Kapoor,India,Asia,  Charcoal Face Wash  ,Retail,171,18.82,3218.49
ORD-10349,2022-04-12,Mason Kapoor,India,ASIA,Anti-Aging Serum,RETAIL,474,10.62,5032.22
ORD-10104,2022-04-07,NOAH MEHTA,UK,Europe,  Charcoal Face Wash  ,WHOLESALE,149,27.27,4063.64
ORD-10380,06-06-2022,Olivia D'Souza,U.S.A.,NORTH AMERICA,aloe vera gel,Wholesale,135,45.3,6115.85
ORD-10427,2022-06-13,ava sharma,USA,NORTH AMERICA,Vitamin C Cream,wholesale,408,34.68,14149.02
ORD-10094,2022-02-19,Olivia D'Souza,UK,Europe,Under Eye Cream,RETAIL,309,25.65,7925.54
ORD-10359,2022-04-05,Noah Mehta,USA,North America,Face Sheet Masks,Online,193,14.76,2848.07
ORD-10116,2022-04-06,sophia nair,,North America,SPF 50 SUNSCREEN,Online,456,27.13,12369.81
ORD-10406,2022-02-02,Liam Patel,UK,Europe,salicylic acid cleanser,Retail,13,36.71,477.17
ORD-10068,2022-04-19,AVA SHARMA,India,Asia,hair repair oil,Retail,434,20.61,8946.01
ORD-10058,2022-03-23,Noah Mehta,New Zealand,oceania,Rose Water Toner,Online,156,11.19,1745.79
ORD-10422,2022-05-16,Lucas Verma,Canada,North America,  Anti-Aging Serum  ,Online,23,34.35,790.07
ORD-10235,,sophia nair,new zealand,  Oceania  ,face sheet masks,Distributor,385,,-100.0
ORD-10100,,Liam Patel,India,ASIA,Tea Tree Moisturizer,Distributor,89,23.89,2126.3
ORD-10460,2022-04-16,Lucas Verma,,NORTH AMERICA,,Online,260,41.49,10786.93
ORD-10004,2022-08-26,Ananya Gupta,New Zealand,Oceania,Salicylic Acid Cleanser,Retail,144,20.6,2966.47
ORD-10156,2022-01-31,Isabella Roy,New Zealand,Oceania,Salicylic Acid Cleanser,retail,120,43.15,5177.5
ORD-10310,"January 20, 2022",LUCAS VERMA,United Kingdom,Europe,  Salicylic Acid Cleanser  ,  Online  ,343,13.05,4476.0
ORD-10323,2022-01-03,Ananya Gupta,New Zealand,Oceania,Vitamin C Cream,,201,14.3,2875.15
ORD-10157,2022-07-02,Ava Sharma,India,ASIA,Body Butter Cream,RETAIL,362,33.67,12188.95
ORD-10462,2022-02-04,Sophia Nair,australia,Oceania,Face Sheet Masks,wholesale,338,36.14,12214.02
ORD-10300,2022-07-07,lucas verma,  India  ,  Asia  ,face sheet masks,ONLINE,239,42.23,10092.43
ORD-10085,2022-08-29,Sophia Nair,UK,Europe,UNDER EYE CREAM,RETAIL,14,40.7,569.78
ORD-10365,03/07/2022,Noah Mehta,,  Europe  ,lip balm pack,Online,372,37.6,13987.08
ORD-10352,2022-01-04,OLIVIA D'SOUZA,canada,north america,Anti-Aging Serum,Retail,178,48.93,8709.22
ORD-10209,2022-06-15,ava sharma,  New Zealand  ,Oceania,SPF 50 Sunscreen,Online,171,42.22,7220.46
ORD-10092,2022-07-23,Mason Kapoor,USA,North America,Niacinamide Toner,Distributor,218,43.35,9450.04
ORD-10029,06-12-2022,liam patel,usa,North America,Under Eye Cream,RETAIL,78,36.03,2810.34
ORD-10052,2022-08-28,Sophia Nair,India,asia,Hair Repair Oil,distributor,366,17.75,6496.58
ORD-10103,2022-07-05,ethan reddy,India,asia,LIP BALM PACK,Online,169,48.96,8273.51
ord10232,2022-08-10,Ethan Reddy,USA,NORTH AMERICA,Niacinamide Toner,ONLINE,236,42.89,10122.81
ORD-10112,2022-03-22,Isabella Roy,USA,North America,Rose Water Toner,Retail,402,48.7,19576.41
ORD-10484,2022-04-21,Liam Patel,Australia,  Oceania  ,under eye cream,Online,22,25.08,
ORD-10142,2022-01-02,Olivia D'Souza,  India  ,Asia,anti-aging serum,retail,433,21.69,9390.28
ORD-10252,2022-05-16,Noah Mehta,India,Asia,VITAMIN C CREAM,Distributor,41,15.4,631.36
ORD-10246,2022-04-30,ETHAN REDDY,new zealand,Oceania,  Lip Balm Pack  ,Retail,36,19.69,708.87
ORD-10270,2022-05-09,ethan reddy,USA,NORTH AMERICA,Niacinamide Toner,Distributor,108,23.93,2584.15
ORD-10073,2022-01-24,Ava Sharma,,NORTH AMERICA,  Tea Tree Moisturizer  ,Online,402,25.15,10108.84
ORD-10283,2022-06-24,Olivia D'Souza,usa,North America,Anti-Aging Serum,  Retail  ,194,25.43,4934.32
ORD-10207,10/06/2022,ava sharma,AUSTRALIA,Oceania,TEA TREE MOISTURIZER,Online,146,43.77,6390.52
ORD-10203,2022-03-20,Olivia D'Souza,CANADA,North America,under eye cream,wholesale,27,31.17,
ORD-10318,2022-01-23,Ava Sharma,uk,Europe,SPF 50 Sunscreen,Retail,366,17.27,6319.71
ORD-10381,2022-07-09,  Sophia Nair  ,New Zealand,oceania,spf 50 sunscreen,Online,317,37.84,11995.3
ORD-10165,2022-06-21,,Australia,  Oceania  ,tea tree moisturizer,Retail,424,38.9,16495.37
ORD-10003,,  Ananya Gupta  ,India,ASIA,Body Butter Cream,Online,264,21.21,5599.68
ORD-10163,2022-05-02,Ava Sharma,UK,europe,rose water toner,Retail,308,49.32,15189.5
ORD-10201,2022-07-01,LUCAS VERMA,New Zealand,oceania,Under Eye Cream,Retail,423,38.42,16253.66
ORD-10276,2022-06-05,Isabella Roy,USA,North America,anti-aging serum,Retail,56,20.06,1123.46
ORD-10428,2022-08-12,Ava Sharma,INDIA,Asia,Face Sheet Masks,Retail,476,37.83,18008.85
ORD-10192,2022-07-16,Ethan Reddy,USA,North America,Under Eye Cream,Online,81,39.57,3205.0
ORD-10452,2022-02-11,ava sharma,UK,Europe,Hair Repair Oil,  Wholesale  ,310,40.42,12531.47
ORD-10467,2022-07-04,Noah Mehta,Australia,Oceania,body butter cream,Online,267,23.28,6216.41
ORD-10172,2022-07-16,  Sophia Nair  ,UK,Europe,HYDRATING FACE SERUM,Retail,318,46.61,14822.36
ORD-10081,2022-03-29,SOPHIA NAIR,Canada,north america,SPF 50 Sunscreen,online,322,21.54,6936.38
ORD-10291,2022-08-21,LIAM PATEL,Canada,North America,Niacinamide Toner,online,136,0.0,5661.96
ORD-10175,2022-01-10,Lucas Verma,CANADA,north america,TEA TREE MOISTURIZER,Online,452,43.02,19444.09
ORD-10011,2022-01-27,OLIVIA D'SOUZA,Australia,  Oceania  ,Body Butter Cream,Online,87,12.87,1119.66
ORD-10469,2022-07-17,  Sophia Nair  ,UK,europe,  Hydrating Face Serum  ,RETAIL,214,39.9,8538.11
ORD-10302,2022-01-31,Ethan Reddy,AUSTRALIA,Oceania,VITAMIN C CREAM,WHOLESALE,264,15.75,4157.41
ORD-10064,2022-03-21,Isabella Roy,India,  Asia  ,Vitamin C Cream,Wholesale,264,24.77,6538.2
ORD-10065,2022-07-11,Ethan Reddy,  USA  ,North America,Rose Water Toner,Online,406,33.56,13625.75
ORD-10062,2022-03-23,noah mehta,USA,North America,vitamin c cream,Retail,248,32.88,8154.9
ORD-10454,2022-04-28,Ava Sharma,New Zealand,Oceania,  Vitamin C Cream  ,wholesale,168,10.0,1679.45
ORD-10322,2022-04-22,Liam Patel,Canada,north america,tea tree moisturizer,Distributor,376,25.72,9669.71
ORD-10412,2022-04-08,Ava Sharma,Canada,North America,Hydrating Face Serum,Retail,330,12.34,4070.56
ORD-10407,2022-07-19,Ethan Reddy,UK,europe,Hair Repair Oil,Wholesale,233,46.78,10900.43
ord10082,2022-03-04,OLIVIA D'SOUZA,New Zealand,Oceania,UNDER EYE CREAM,RETAIL,180,13.46,2422.62
ORD-10009,2022-02-04,Isabella Roy,New Zealand,  Oceania  ,Lip Balm Pack,ONLINE,466,16.64,7754.36
ORD-10368,2022-05-05,Liam Patel,USA,North America,Under Eye Cream,Distributor,206,18.43,3795.64
ORD-10280,2022-06-27,Noah Mehta,New Zealand,Oceania,Body Butter Cream,Distributor,394,24.58,"$9,682.74"
ORD-10281,2022-01-19,Isabella Roy,Australia,Oceania,Anti-Aging Serum,  Retail  ,232,13.97,3241.7
ORD-10489,2022-04-29,Lucas Verma,Australia,Oceania,anti-aging serum,ONLINE,196,31.8,6231.99
ORD-10097,2022-07-15,Ananya Gupta,Australia,Oceania,hair repair oil,Retail,424,46.84,19861.82
ORD-10086,2022-03-15,olivia d'souza,UK,Europe,Hydrating Face Serum,RETAIL,124,33.09,4103.17
ORD-10143,2022-08-26,NOAH MEHTA,  New Zealand  ,OCEANIA,SPF 50 Sunscreen,Online,279,12.07,3368.14
ORD-10282,2022-03-29,liam patel,India,asia,Tea Tree Moisturizer,  Retail  ,233,46.72,10885.26
ORD-10032,2022-07-10,  Mason Kapoor  ,UK,Europe,Body Butter Cream,distributor,340,37.9,12885.94
ORD-10122,2022-04-11,ava sharma,Canada,North America,Aloe Vera Gel,Distributor,360,34.51,12424.63
ORD-10416,2022-04-01,Noah Mehta,,Oceania,SPF 50 Sunscreen,Distributor,,26.58,8026.31
ORD-10038,11/05/2022,Lucas Verma,UK,Europe,Hydrating Face Serum,online,357,11.88,4242.56
ORD-10181,2022-01-19,liam patel,USA,North America,Anti-Aging Serum,online,155,29.63,4592.38
ORD-10464,2022-03-27,Olivia D'Souza,uk,europe,Anti-Aging Serum,,287,,10623.87
ord10138,2022-05-01,ANANYA GUPTA,india,asia,Hair Repair Oil,Wholesale,390,26.62,10382.3
ORD-10403,2022-08-02,  Olivia D'Souza  ,USA,north america,SPF 50 SUNSCREEN,Online,113,24.28,2743.34
ORD-10367,2022-08-01,Ananya Gupta,,Europe,  Tea Tree Moisturizer  ,Wholesale,487,23.3,11345.7
ORD-10286,2022-07-10,  Ananya Gupta  ,CANADA,North America,Salicylic Acid Cleanser,Online,268,35.68,9561.31
ORD-10345,2022-03-26,Isabella Roy,India,Asia,Charcoal Face Wash,Wholesale,64,41.1,2630.52
ORD-10048,2022-05-27,Liam Patel,New Zealand,Oceania,SPF 50 Sunscreen,Distributor,331,47.15,15606.61
ORD-10176,2022-03-09,Ethan Reddy,UK,Europe,Hair Repair Oil,retail,176,48.81,8591.2
ORD-10070,2022-04-01,Ethan Reddy,Canada,North America,Under Eye Cream,Retail,274,34.21,9372.51
ORD-10016,2022-01-04,LIAM PATEL,Canada,North America,Aloe Vera Gel,Retail,83,46.99,3900.37
ORD-10436,2022-07-25,Sophia Nair,  New Zealand  ,oceania,  Tea Tree Moisturizer  ,Retail,378,18.7,7068.94
ORD-10402,2022-05-30,Sophia Nair,India,ASIA,SPF 50 SUNSCREEN,wholesale,389,34.72,13506.08
ORD-10037,2022-05-27,ava sharma,  New Zealand  ,OCEANIA,  Vitamin C Cream  ,online,266,45.91,12213.24
ORD-90003,2022-06-15,Ava Sharma,  UK  ,europe,Vitamin C Cream,  Retail  ,456,36.06,16445.03
ORD-10343,"July 29, 2022",Ananya Gupta,New Zealand,Oceania,BODY BUTTER CREAM,Wholesale,163,38.43,6264.79
ORD-10168,2022-08-06,Isabella Roy,Canada,North America,Hydrating Face Serum,Wholesale,375,43.8,16425.05
ORD-10059,2022-03-25,LIAM PATEL,new zealand,Oceania,Charcoal Face Wash,Online,198,36.71,7268.2
ORD-10108,2022-08-30,Olivia D'Souza,UK,europe,TEA TREE MOISTURIZER,  Retail  ,183,26.06,4768.41
ORD-10366,2022-07-18,Olivia D'Souza,UK,Europe,Niacinamide Toner,DISTRIBUTOR,457,39.15,17890.38
ORD-10401,2022-05-10,Ananya Gupta,Australia,Oceania,Aloe Vera Gel,Online,428,31.75,13588.98
ORD-10297,2022-02-28,  Ava Sharma  ,New Zealand,Oceania,SPF 50 Sunscreen,Online,393,26.63,10465.99
ORD-10294,2022-07-27,Noah Mehta,INDIA,Asia,Niacinamide Toner,Online,40,29.46,1178.22
ORD-10221,24/04/2022,Ethan Reddy,USA,north america,ALOE VERA GEL,Wholesale,224,23.27,5212.22
ORD-10093,2022-02-14,  Noah Mehta  ,UK,EUROPE,Face Sheet Masks,Retail,293,22.04,6457.54
ORD-10491,2022-05-01,sophia nair,  New Zealand  ,Oceania,Tea Tree Moisturizer,Retail,118,34.71,4095.88
ORD-10305,2022-01-27,Ethan Reddy,New Zealand,OCEANIA,Aloe Vera Gel,WHOLESALE,246,22.83,5616.37
ORD-10266,2022-05-28,Ava Sharma,new zealand,Oceania,  Tea Tree Moisturizer  ,Distributor,190,,7024.11
ORD-10148,2022-06-01,olivia d'souza,U.S.A.,North America,face sheet masks,,300,36.77,11031.64
ORD-10135,2022-02-11,Sophia Nair,uk,Europe,  SPF 50 Sunscreen  ,,350,43.64,15274.46
ORD-10337,2022-03-11,Olivia D'Souza,UK,europe,Hydrating Face Serum,Online,199,40.15,7990.6
ORD-10075,2022-07-08,liam patel,  USA  ,North America,Anti-Aging Serum,ONLINE,51,25.65,1308.08
ORD-10389,2022-01-18,noah mehta,  UK  ,Europe,aloe vera gel,,233,20.82,4850.33
ORD-10485,2022-05-27,Noah Mehta,Australia,Oceania,ALOE VERA GEL,retail,14,39.16,548.27
ORD-10259,2022-01-31,Olivia D'Souza,canada,NORTH AMERICA,  Tea Tree Moisturizer  ,,161,28.16,4534.5
ORD-10486,2022-06-10,lucas verma,canada,North America,Lip Balm Pack,Online,214,28.41,0.0
ORD-10376,2022-08-19,Noah Mehta,New Zealand,OCEANIA,Body Butter Cream,distributor,17,19.72,335.22
ORD-10395,2022-04-22,Liam Patel,USA,North America,  SPF 50 Sunscreen  ,DISTRIBUTOR,44,40.55,1784.4
ORD-10130,2022-08-13,Mason Kapoor,Australia,Oceania,  Vitamin C Cream  ,online,475,33.76,16037.03
ORD-10013,2022-04-06,ava sharma,USA,north america,Hair Repair Oil,Distributor,254,47.83,12147.98
ORD-10305,2022-01-27,Ethan Reddy,New Zealand,OCEANIA,Aloe Vera Gel,WHOLESALE,246,22.83,5616.37
ORD-10334,2022-06-02,Sophia Nair,UK,europe,SPF 50 Sunscreen,wholesale,142,49.72,7060.26
ORD-10500,2022-02-01,,india,Asia,NIACINAMIDE TONER,Wholesale,351,18.19,6383.29
ORD-10173,2022-03-27,,  New Zealand  ,OCEANIA,Rose Water Toner,retail,225,15.24,3428.81
ORD-10313,2022-06-03,OLIVIA D'SOUZA,australia,Oceania,SPF 50 Sunscreen,Distributor,411,41.33,16987.7
ORD-10324,2022-03-11,Sophia Nair,india,asia,Anti-Aging Serum,Distributor,447,31.8,14214.55
ORD-10396,2022-05-22,Ananya Gupta,INDIA,ASIA,NIACINAMIDE TONER,  Retail  ,139,39.63,5508.55
ORD-10463,2022-08-01,mason kapoor,India,Asia,Face Sheet Masks,Retail,31,10.83,$335.77
ORD-10005,2022-05-19,  Sophia Nair  ,  UK  ,europe,Body Butter Cream,RETAIL,484,14.11,6828.68
ORD-10358,30/08/2022,Olivia D'Souza,New Zealand,OCEANIA,CHARCOAL FACE WASH,Retail,81,15.74,1274.86
ORD-10301,2022-07-11,Ethan Reddy,New Zealand,Oceania,hair repair oil,Wholesale,84,28.51,2394.9
ORD-10145,2022-06-11,Sophia Nair,new zealand,  Oceania  ,Face Sheet Masks,Wholesale,23,16.59,381.6
ORD-10260,2022-08-24,Ananya Gupta,UK,Europe,  Hydrating Face Serum  ,,69,14.89,1027.1
ORD-10055,2022-05-17,Noah Mehta,UK,Europe,Lip Balm Pack,Online,489,15.34,7501.02
ORD-10196,2022-04-06,MASON KAPOOR,UK,Europe,Vitamin C Cream,Wholesale,499,46.66,23284.44
ORD-10164,2022-01-27,ANANYA GUPTA,USA,North America,Anti-Aging Serum,Online,189,37.44,7077.02
ORD-10210,"February 24, 2022",noah mehta,Canada,NORTH AMERICA,SPF 50 Sunscreen,Retail,120,29.09,3490.94
ORD-10432,2022-03-02,sophia nair,USA,North America,Anti-Aging Serum,Retail,393,17.96,7060.12
ORD-10234,03-19-2022,Ava Sharma,uk,  Europe  ,,WHOLESALE,18,20.31,365.6
ORD-10384,2022-05-19,Sophia Nair,UK,Europe,  Charcoal Face Wash  ,  Wholesale  ,250,16.61,"$4,152.01"
ORD-10303,2022-06-28,MASON KAPOOR,australia,Oceania,tea tree moisturizer,Retail,140,28.47,"$3,986.46"
ORD-10277,2022-03-30,Ethan Reddy,usa,north america,Niacinamide Toner,DISTRIBUTOR,495,36.75,18188.8
ORD-10107,2022-03-10,  Ava Sharma  ,,North America,SPF 50 Sunscreen,  Retail  ,471,36.09,16996.07
ORD-10320,2022-08-03,  Liam Patel  ,India,Asia,Tea Tree Moisturizer,online,412,13.13,5408.77
ORD-10394,2022-02-17,Ananya Gupta,India,ASIA,SPF 50 Sunscreen,  Online  ,155,54.25,8408.57
ORD-10025,2022-04-13,Sophia Nair,  Australia  ,Oceania,Niacinamide Toner,  Distributor  ,162,36.78,5958.48
ORD-10044,05-17-2022,Liam Patel,  USA  ,North America,  Anti-Aging Serum  ,Wholesale,242,43.19,10452.26
ORD-10309,2022-05-06,Olivia D'Souza,  New Zealand  ,Oceania,Salicylic Acid Cleanser,Retail,,26.79,723.29
ORD-10325,2022-03-05,Mason Kapoor,INDIA,Asia,Body Butter Cream,Online,29,41.22,1195.52
ORD-10272,2022-06-03,sophia nair,new zealand,Oceania,LIP BALM PACK,ONLINE,12,46.64,559.73
ORD-10346,2022-08-28,Olivia D'Souza,USA,North America,SPF 50 Sunscreen,RETAIL,251,20.02,5024.53
ORD-10083,2022-01-13,Lucas Verma,USA,north america,ANTI-AGING SERUM,ONLINE,366,46.69,17090.34
ORD-10167,06-05-2022,noah mehta,australia,  Oceania  ,UNDER EYE CREAM,Retail,388,33.29,12915.63
ORD-10223,2022-08-27,Ananya Gupta,UK,EUROPE,  Anti-Aging Serum  ,Online,16,27.13,434.03
ORD-10447,2022-05-01,Noah Mehta,AUSTRALIA,Oceania,Rose Water Toner,Distributor,108,26.02,2810.11
ORD-10125,2022-08-30,  Ananya Gupta  ,India,Asia,  Charcoal Face Wash  ,retail,119,48.78,5804.87
ORD-10419,2022-04-09,Isabella Roy,USA,north america,Aloe Vera Gel,Distributor,322,36.94,11893.79
ORD-10102,2022-04-17,Isabella Roy,Australia,Oceania,TEA TREE MOISTURIZER,online,283,47.47,13434.96
ORD-10445,2022-04-30,Olivia D'Souza,USA,North America,Face Sheet Masks,Distributor,487,42.1,20503.5
ORD-10077,2022-04-25,Isabella Roy,australia,OCEANIA,NIACINAMIDE TONER,Retail,152,34.36,5223.33
ORD-10133,19/04/2022,  Olivia D'Souza  ,Canada,NORTH AMERICA,Under Eye Cream,distributor,434,43.85,19030.11
ORD-90002,2022-05-10,Ethan Reddy,uk,europe,FACE SHEET MASKS,Retail,244,43.94,10720.46
ORD-10151,,Ava Sharma,India,Asia,spf 50 sunscreen,Retail,189,39.81,7524.98
ORD-90004,2022-07-30,Liam Patel,Australia,oceania,Face Sheet Masks,  Wholesale  ,101,21.04,2124.81
ORD-10027,2022-04-11,,Australia,Oceania,Charcoal Face Wash,Retail,18,17.48,314.68
ORD-10341,2022-01-02,Sophia Nair,USA,north america,ANTI-AGING SERUM,Retail,377,33.29,12551.57
ORD-10468,2022-07-01,Mason Kapoor,india ,Asia,Aloe Vera Gel,Distributor,268,19.67,5271.16
ORD-10113,06-20-2022,Sophia Nair,USA,  North America  ,Lip Balm Pack,RETAIL,235,20.53,4824.94
ORD-10307,2022-07-27,Mason Kapoor,australia,Oceania,Niacinamide Toner,Online,109,39.86,4344.35
ORD-10483,2022-04-27,liam patel,Australia,  Oceania  ,Under Eye Cream,  Retail  ,493,30.19,14881.24
ORD-10375,2022-02-26,ava sharma,Canada,  North America  ,  Tea Tree Moisturizer  ,Online,276,41.47,11444.43
ORD-10028,2022-06-18,Mason Kapoor,  Australia  ,  Oceania  ,anti-aging serum,distributor,91,15.85,1442.65
ORD-10263,2022-04-03,Mason Kapoor,UK,Europe,Hydrating Face Serum,Retail,433,13.4,5802.73
ORD-10379,,noah mehta,NEW ZEALAND,OCEANIA,SPF 50 SUNSCREEN,Online,41,15.4,631.31
ORD-10111,2022-01-26,Liam Patel,Australia,Oceania,  Charcoal Face Wash  ,Retail,96,49.58,4759.75
ORD-10471,2022-04-17,liam patel,usa,North America,  Salicylic Acid Cleanser  ,  Distributor  ,13,48.04,624.54
